kind,shift,metric,k,env_steps,mean,std,median,p25,p75,n
encoder_shift,geometry,mse,3,15,0.8046209216117859,0.5554003119468689,0.7974169254302979,0.33527764678001404,1.1714763641357422,200
encoder_shift,geometry,mse,4,20,0.881084144115448,0.5864934921264648,0.9102054834365845,0.3685569763183594,1.3740977048873901,200
encoder_shift,geometry,mse,5,25,0.9172458648681641,0.5937910079956055,0.9564796686172485,0.4197734296321869,1.4254497289657593,200
encoder_shift,geometry,mse,6,30,0.958777666091919,0.6087811589241028,1.013126254081726,0.4785745143890381,1.5002264976501465,200
encoder_shift,geometry,mse,7,35,0.9992465376853943,0.6213393807411194,1.0689462423324585,0.4789106845855713,1.5275694131851196,200
encoder_shift,geometry,mse,8,40,1.042024850845337,0.6314557194709778,1.1325396299362183,0.460243284702301,1.5966103076934814,200
encoder_shift,geometry,mse,9,45,1.0724372863769531,0.6399790048599243,1.175478219985962,0.485400915145874,1.6319806575775146,200
encoder_shift,geometry,mse,10,50,1.101833462715149,0.6525651812553406,1.2868943214416504,0.4986158311367035,1.6317365169525146,200
encoder_shift,geometry,l2,0,0,10.220466613769531,4.847742080688477,11.225847244262695,7.547188758850098,13.750894546508789,200
encoder_shift,geometry,l2,1,5,10.516746520996094,5.050018787384033,11.597244262695312,8.022461891174316,14.250415802001953,200
encoder_shift,geometry,l2,2,10,10.821948051452637,5.1189398765563965,12.121875762939453,7.9894022941589355,14.450993537902832,200
encoder_shift,geometry,l2,3,15,11.253387451171875,5.27716588973999,12.373520851135254,8.023126602172852,14.997323989868164,200
encoder_shift,geometry,l2,4,20,11.768205642700195,5.538724899291992,13.219653129577637,8.411906242370605,16.242698669433594,200
encoder_shift,geometry,l2,5,25,12.063305854797363,5.530628681182861,13.551534652709961,8.977544784545898,16.54343605041504,200
encoder_shift,geometry,l2,6,30,12.375964164733887,5.56065034866333,13.947021484375,9.585289001464844,16.971843719482422,200
encoder_shift,geometry,l2,7,35,12.634042739868164,5.677700042724609,14.326106071472168,9.589076042175293,17.125783920288086,200
encoder_shift,geometry,l2,8,40,12.9478759765625,5.693966865539551,14.746105194091797,9.40035343170166,17.508543014526367,200
encoder_shift,geometry,l2,9,45,13.17444133758545,5.687007427215576,15.023002624511719,9.653855323791504,17.701417922973633,200
encoder_shift,geometry,l2,10,50,13.346338272094727,5.781634330749512,15.718896865844727,9.784383773803711,17.700096130371094,200
encoder_shift,geometry,cosine,0,0,0.3821827173233032,0.26665422320365906,0.3636842966079712,0.17042648792266846,0.5660063028335571,200
