strategy,family,generator,selector,selection_space,candidate_budget,deployable,tuned_on_dev,split,n_states,mean_true,true_ci_low,true_ci_high,mean_success,success_ci_low,success_ci_high,mean_selected_step,baseline,delta_true_vs_baseline,delta_true_ci_low,delta_true_ci_high,delta_success_vs_baseline,delta_success_ci_low,delta_success_ci_high
pd_d192_k3_eval:returned:score_by_iter2_multistep_eval,round_verification,pd_d192_k3_eval,iter2_multistep_eval,returned_means,1,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k10_eval,round_verification,pd_d192_k3_eval,pd_d192_k10_eval,returned_means,1,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:consensus,round_verification,pd_d192_k3_eval,all_rank_consensus,returned_means,3,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:nonself_consensus,round_verification,pd_d192_k3_eval,nonself_rank_consensus,returned_means,2,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:oracle_round,oracle_ceiling,pd_d192_k3_eval,true_simulator_cost,returned_means,1,False,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:population_all:score_by_pd_d192_k3_eval,population_verification,pd_d192_k3_eval,pd_d192_k3_eval,all_recorded_populations,300,True,False,test,25,137.6412110709741,61.40314127109215,232.94923592105934,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,2.202446702475496,0.36952300627782064,4.383978756585625,0.0,-0.12,0.12
pd_d192_k3_eval:population_elite:score_by_pd_d192_k3_eval,elite_verification,pd_d192_k3_eval,pd_d192_k3_eval,recorded_generator_elites,30,True,False,test,25,137.6412110709741,61.40314127109215,232.94923592105934,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,2.202446702475496,0.36952300627782064,4.383978756585625,0.0,-0.12,0.12
pd_d192_k3_eval:population_all:score_by_iter2_multistep_eval,population_verification,pd_d192_k3_eval,iter2_multistep_eval,all_recorded_populations,300,True,False,test,25,137.56321489675042,60.518901049380666,233.06941740833548,0.56,0.36,0.76,29.0,pd_d192_k3_eval:returned:final,2.1244505282518342,-1.9886103251302276,6.99756812699865,0.08,0.0,0.2
pd_d192_k3_eval:population_elite:score_by_iter2_multistep_eval,elite_verification,pd_d192_k3_eval,iter2_multistep_eval,recorded_generator_elites,30,True,False,test,25,137.28007074697328,60.5329736719174,233.29271798044545,0.52,0.32,0.72,29.0,pd_d192_k3_eval:returned:final,1.8413063784746646,-0.853057164649116,4.546405676234679,0.04,-0.08,0.2
pd_d192_k3_eval:population_all:score_by_pd_d192_k10_eval,population_verification,pd_d192_k3_eval,pd_d192_k10_eval,all_recorded_populations,300,True,False,test,25,137.3022508543039,61.89288710910465,231.15791106311082,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,1.8634864858053073,-1.481505416472912,5.761370254510863,0.0,-0.12,0.12
