kind,shift,reference,interval,metric,k,env_steps,mean,std,median,p25,p75,n
regrounded_rollout_error,id,,5,l2,6,30,1.9203740358352661,0.87142413854599,1.7350198030471802,1.338395118713379,2.2401065826416016,200
regrounded_rollout_error,id,,5,l2,7,35,2.8998260498046875,1.2438510656356812,2.504478931427002,2.04634428024292,3.4395432472229004,200
regrounded_rollout_error,id,,5,l2,8,40,3.7932114601135254,1.7478491067886353,3.360863208770752,2.5080034732818604,4.5615997314453125,200
regrounded_rollout_error,id,,5,l2,9,45,4.845285415649414,2.043031692504883,4.4552836418151855,3.3539304733276367,5.969925880432129,200
regrounded_rollout_error,id,,5,l2,10,50,5.815869331359863,2.385423183441162,5.674260139465332,3.940105438232422,6.946643829345703,200
regrounded_rollout_error,id,,5,cosine,0,0,-5.9604643443123e-10,8.554668085025696e-08,0.0,0.0,5.960464477539063e-08,200
regrounded_rollout_error,id,,5,cosine,1,5,0.008976639248430729,0.011529401876032352,0.0051153600215911865,0.0030717402696609497,0.009380653500556946,200
regrounded_rollout_error,id,,5,cosine,2,10,0.019818425178527832,0.02660834789276123,0.010323196649551392,0.0053192079067230225,0.019464820623397827,200
regrounded_rollout_error,id,,5,cosine,3,15,0.035765063017606735,0.056577522307634354,0.016768604516983032,0.008983835577964783,0.04017958045005798,200
regrounded_rollout_error,id,,5,cosine,4,20,0.055508069694042206,0.08988871425390244,0.025946855545043945,0.014976322650909424,0.06618192791938782,200
regrounded_rollout_error,id,,5,cosine,5,25,0.08185471594333649,0.12882676720619202,0.03648972511291504,0.020605891942977905,0.08480215072631836,200
regrounded_rollout_error,id,,5,cosine,6,30,0.01330339815467596,0.01697811298072338,0.0085030198097229,0.005062669515609741,0.014919623732566833,200
regrounded_rollout_error,id,,5,cosine,7,35,0.02922559343278408,0.02982066012918949,0.018075287342071533,0.011197596788406372,0.03550650179386139,200
regrounded_rollout_error,id,,5,cosine,8,40,0.050082381814718246,0.05376313999295235,0.03234505653381348,0.01755334436893463,0.059490740299224854,200
regrounded_rollout_error,id,,5,cosine,9,45,0.08007515221834183,0.0788227990269661,0.05465906858444214,0.030435755848884583,0.09862254559993744,200
regrounded_rollout_error,id,,5,cosine,10,50,0.11570249497890472,0.1053115501999855,0.090121328830719,0.040960103273391724,0.14061088860034943,200
regrounded_rollout_error,id,,10,mse,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,id,,10,mse,1,5,0.01629195362329483,0.01845702715218067,0.010034770704805851,0.0064684199169278145,0.017566891387104988,200
regrounded_rollout_error,id,,10,mse,2,10,0.036431167274713516,0.045466575771570206,0.02058667130768299,0.011334197595715523,0.038265928626060486,200
