shift,k,plan_h,mid,subgoal,lam,init,expert_rank,top1_vs_ideal,regret
id,8,3,1,disc2048,0.5,true,26.991666793823242,0.3416666666666667,0.026424577459692955
id,8,3,1,disc2048,0.5,drift,58.92499923706055,0.16666666666666666,0.1989714503288269
id,8,3,1,disc2048,0.75,true,23.766666412353516,0.23333333333333334,0.055660609155893326
id,8,3,1,disc2048,0.75,drift,55.724998474121094,0.125,0.2467983365058899
id,8,5,2,none,0.0,true,130.0833282470703,1.0,0.0
id,8,5,2,none,0.0,drift,138.26666259765625,0.15833333333333333,0.23103481531143188
id,8,5,2,oracle,0.25,true,103.54166412353516,0.5083333333333333,0.02204304188489914
id,8,5,2,oracle,0.25,drift,118.90833282470703,0.13333333333333333,0.24259750545024872
id,8,5,2,oracle,0.5,true,69.56666564941406,0.2916666666666667,0.06929372251033783
id,8,5,2,oracle,0.5,drift,92.55000305175781,0.1,0.27751412987709045
id,8,5,2,oracle,0.75,true,30.149999618530273,0.18333333333333332,0.14538322389125824
id,8,5,2,oracle,0.75,drift,59.95833206176758,0.08333333333333333,0.3524237275123596
id,8,5,2,disc2048,0.25,true,107.66666412353516,0.525,0.020321141928434372
id,8,5,2,disc2048,0.25,drift,121.45833587646484,0.125,0.24115626513957977
id,8,5,2,disc2048,0.5,true,80.2750015258789,0.3,0.07256568968296051
id,8,5,2,disc2048,0.5,drift,100.42500305175781,0.1,0.25149136781692505
id,8,5,2,disc2048,0.75,true,47.525001525878906,0.175,0.13915637135505676
id,8,5,2,disc2048,0.75,drift,75.35832977294922,0.075,0.372235506772995
