analysis,shift,k,param,method,value,baseline,raw_mse
projection_recovery,visual,3,5,pca_denoise,0.40909117460250854,0.3097400367259979,
projection_recovery,visual,3,10,pca_denoise,0.39987504482269287,0.3097400367259979,
projection_recovery,visual,3,20,pca_denoise,0.37329965829849243,0.3097400367259979,
projection_recovery,visual,3,30,pca_denoise,0.3565627336502075,0.3097400367259979,
projection_recovery,visual,3,50,pca_denoise,0.32501938939094543,0.3097400367259979,
projection_recovery,visual,3,80,pca_denoise,0.32266324758529663,0.3097400367259979,
projection_recovery,visual,3,120,pca_denoise,0.3095056414604187,0.3097400367259979,
projection_recovery,visual,3,160,pca_denoise,0.30966994166374207,0.3097400367259979,
projection_recovery,visual,3,192,pca_denoise,0.3097400367259979,0.3097400367259979,
projection_recovery,visual,3,1,knn_snap,0.7864897847175598,0.3097400367259979,
projection_recovery,visual,3,0.25,knn_soft,0.322398841381073,0.3097400367259979,
projection_recovery,visual,3,0.5,knn_soft,0.3750193417072296,0.3097400367259979,
projection_recovery,visual,3,0.75,knn_soft,0.46760162711143494,0.3097400367259979,
projection_recovery,visual,3,1.0,knn_soft,0.6001455783843994,0.3097400367259979,
nn_density,visual,3,,pred_to_nn,9.446575164794922,10.719815254211426,
off_manifold,visual,5,2,energy_capture,0.02586827240884304,0.05978308618068695,0.438669890165329
off_manifold,visual,5,5,energy_capture,0.05461713671684265,0.13194285333156586,0.438669890165329
off_manifold,visual,5,10,energy_capture,0.09234081208705902,0.2212519496679306,0.438669890165329
off_manifold,visual,5,20,energy_capture,0.1880512237548828,0.37117987871170044,0.438669890165329
off_manifold,visual,5,30,energy_capture,0.2955007553100586,0.4975653290748596,0.438669890165329
off_manifold,visual,5,50,energy_capture,0.48165759444236755,0.7052250504493713,0.438669890165329
off_manifold,visual,5,80,energy_capture,0.8464125990867615,0.9283661842346191,0.438669890165329
off_manifold,visual,5,120,energy_capture,0.9828265309333801,0.9987743496894836,0.438669890165329
off_manifold,visual,5,160,energy_capture,0.9934597611427307,0.9997656345367432,0.438669890165329
off_manifold,visual,5,192,energy_capture,1.0,1.0,0.438669890165329
projection_recovery,visual,5,2,pca_denoise,0.4233560562133789,0.438669890165329,
projection_recovery,visual,5,5,pca_denoise,0.4222913086414337,0.438669890165329,
projection_recovery,visual,5,10,pca_denoise,0.41713032126426697,0.438669890165329,
projection_recovery,visual,5,20,pca_denoise,0.4024237096309662,0.438669890165329,
projection_recovery,visual,5,30,pca_denoise,0.40043535828590393,0.438669890165329,
projection_recovery,visual,5,50,pca_denoise,0.39230799674987793,0.438669890165329,
projection_recovery,visual,5,80,pca_denoise,0.4376786947250366,0.438669890165329,
projection_recovery,visual,5,120,pca_denoise,0.4381697475910187,0.438669890165329,
projection_recovery,visual,5,160,pca_denoise,0.43855810165405273,0.438669890165329,
projection_recovery,visual,5,192,pca_denoise,0.438669890165329,0.438669890165329,
projection_recovery,visual,5,1,knn_snap,0.8700572848320007,0.438669890165329,
projection_recovery,visual,5,0.25,knn_soft,0.44084715843200684,0.438669890165329,
projection_recovery,visual,5,0.5,knn_soft,0.4836782217025757,0.438669890165329,
projection_recovery,visual,5,0.75,knn_soft,0.5671630501747131,0.438669890165329,
projection_recovery,visual,5,1.0,knn_soft,0.6913016438484192,0.438669890165329,
nn_density,visual,5,,pred_to_nn,9.423986434936523,10.746033668518066,
off_manifold,visual,8,2,energy_capture,0.023876309394836426,0.05978308618068695,0.5732654333114624
off_manifold,visual,8,5,energy_capture,0.05365655943751335,0.13194285333156586,0.5732654333114624
off_manifold,visual,8,10,energy_capture,0.08863969892263412,0.2212519496679306,0.5732654333114624
off_manifold,visual,8,20,energy_capture,0.1903114765882492,0.37117987871170044,0.5732654333114624
off_manifold,visual,8,30,energy_capture,0.30073273181915283,0.4975653290748596,0.5732654333114624
off_manifold,visual,8,50,energy_capture,0.4881398379802704,0.7052250504493713,0.5732654333114624
off_manifold,visual,8,80,energy_capture,0.8517395257949829,0.9283661842346191,0.5732654333114624
off_manifold,visual,8,120,energy_capture,0.9869815111160278,0.9987743496894836,0.5732654333114624
off_manifold,visual,8,160,energy_capture,0.9950348734855652,0.9997656345367432,0.5732654333114624
off_manifold,visual,8,192,energy_capture,1.0,1.0,0.5732654333114624
projection_recovery,visual,8,2,pca_denoise,0.42645013332366943,0.5732654333114624,
projection_recovery,visual,8,5,pca_denoise,0.429067999124527,0.5732654333114624,
projection_recovery,visual,8,10,pca_denoise,0.4273151755332947,0.5732654333114624,
projection_recovery,visual,8,20,pca_denoise,0.43027088046073914,0.5732654333114624,
projection_recovery,visual,8,30,pca_denoise,0.4458472728729248,0.5732654333114624,
projection_recovery,visual,8,50,pca_denoise,0.46407780051231384,0.5732654333114624,
projection_recovery,visual,8,80,pca_denoise,0.5559980273246765,0.5732654333114624,
projection_recovery,visual,8,120,pca_denoise,0.5724783539772034,0.5732654333114624,
projection_recovery,visual,8,160,pca_denoise,0.5731146931648254,0.5732654333114624,
projection_recovery,visual,8,192,pca_denoise,0.5732654333114624,0.5732654333114624,
projection_recovery,visual,8,1,knn_snap,0.9386860132217407,0.5732654333114624,
projection_recovery,visual,8,0.25,knn_soft,0.5597827434539795,0.5732654333114624,
projection_recovery,visual,8,0.5,knn_soft,0.5900428295135498,0.5732654333114624,
projection_recovery,visual,8,0.75,knn_soft,0.6640458106994629,0.5732654333114624,
projection_recovery,visual,8,1.0,knn_soft,0.7817915081977844,0.5732654333114624,
nn_density,visual,8,,pred_to_nn,9.383147239685059,10.841769218444824,
off_manifold,visual,10,2,energy_capture,0.025039348751306534,0.05978308618068695,0.6556552648544312
off_manifold,visual,10,5,energy_capture,0.05419528856873512,0.13194285333156586,0.6556552648544312
off_manifold,visual,10,10,energy_capture,0.0898040235042572,0.2212519496679306,0.6556552648544312
off_manifold,visual,10,20,energy_capture,0.1951294094324112,0.37117987871170044,0.6556552648544312
off_manifold,visual,10,30,energy_capture,0.30517685413360596,0.4975653290748596,0.6556552648544312
off_manifold,visual,10,50,energy_capture,0.4954298436641693,0.7052250504493713,0.6556552648544312
off_manifold,visual,10,80,energy_capture,0.8581526279449463,0.9283661842346191,0.6556552648544312
off_manifold,visual,10,120,energy_capture,0.9887869358062744,0.9987743496894836,0.6556552648544312
